"","EU638706.1.1353","JN537192.1.1500","CAFJ01000195.23.1515","AJ567555.1.1514","JQ452773.1.1411","EF516422.1.1450","AJ630299.1.1352","CU923190.1.1303","AY664168.1.1226","JN039300.55496.57028","AM935163.1.1350","FJ484793.1.1352","KC169771.1.1506","EU134748.1.1313","JX568335.1.1221","GU370118.1.1504","KC189687.1.1492","EF687221.1.1356","EU803003.1.1436","EU652528.1.1505","GQ388869.1.1448","JX222882.1.1500","EU800380.1.1501","HQ672217.1.1433","HM128213.1.1390","HM438272.1.1490","EU370951.1.1423","GQ347042.1.1381","EU463399.1.1397","JQ278864.1.1255","EU778909.1.1356","JN438064.1.1328","FN553956.1.1518","HM320530.1.1356","HQ153982.1.1372","AY517633.1.1496","EF509540.1.1463","JN492868.1.1408","AY533663.1.1476","EU799164.1.1464","JF772089.1.1504","FN822206.1.1354","JF767278.1.1329","EU705738.1.1231","EU382220.1.1537","JQ800676.1.1461","JF150656.1.1355","EU472391.1.1397","HQ849847.1.910","JQ032338.1.1315","FJ202263.1.1475","HM127820.1.1445","DQ289911.1.1391","EU491150.1.1513","DQ807757.1.1390","KC433404.1.1416","JN177645.1.1488","EU360487.1.1341","JF344191.1.1498","JN433073.1.1311","AACY023939069.20.1514","JQ467292.1.1350","JN442517.1.1496","EU373879.1.1463","DQ809269.1.1284","DQ797308.1.1379","KC003498.1.906","DQ917818.1.1484","EU133359.1.1285","EU499734.1.1405","FJ674735.1.1367","AB193999.1.1440","JQ478185.1.1400","FM242236.1.1493","AB176219.1.1449","JF319223.1.1409","GQ259313.1.1460","JQ800781.1.1494","AB487211.1.1383","EU456601.1.1391","FJ826490.1.1479","FJ983040.1.1506","HM587246.1.1505","EU160567.1.1364","FM213023.1.1499","HQ166684.1.1483","FJ479509.1.1523","AY057116.1.1496","U21490.1.1436","FJ203457.1.1440","GU119140.1.1418","FN396955.1.1437","DQ807160.1.1378","KC331235.1.1446","CR933029.1.1354","FM242389.1.1513","DQ071108.1.1477","JQ013149.1.1430","HQ190323.1.1511","JN038861.1.1481","KC005305.1.1442","FJ746252.1.1434","EF019312.1.1336","AB087717.1.1482","DQ269079.1.1405","EF076166.1.1437","AB491704.1.1363","EU132383.1.1393","FJ644600.1.1277","HQ673051.1.1470","EU413609.1.1238","DQ804203.1.1391","GQ379616.1.1236","AB240371.1.1518","EU289419.1.1489","EU135551.1.1369","HM798895.1.1469","CU919555.1.1332","EU617870.1.1514","HQ674482.1.1462","JN514869.1.1424","KC465621.1.1353","EU132191.1.1351","JQ269251.1.1483","CU927325.1.1340","JN437599.1.1384","CU922410.1.1357","FJ952687.1.1457","FJ470591.1.1499","EU621894.1.1398","EF574345.1.1539","FJ479006.1.1507","FN396661.1.1453","EU289486.1.1456","EU236390.1.1353","FR667390.1.1331","GU293190.1.1486","JX000653.1.1300","JX945345.1.1443","EU800201.1.1303","HQ673413.1.1484","HQ163641.1.1355","GQ472939.1.1228","GQ093824.1.1305","EU290739.1.1461","AB189348.1.1514","EF207559.1.1335","EF572324.1.1449","JQ013486.1.1524","KC012896.1.1336","FJ264579.1.1506","HE804152.1.1386","JQ612377.1.1466","EU777053.1.1333","FJ716886.1.1460","JX223209.1.1365","CU923634.1.1345","HQ672405.1.1502","EU731492.1.1000","GU451537.1.1253","GQ472935.1.1220","GU572365.1.1497","AY664284.1.1258","EU802926.1.1368","AJ536844.1.1392","DQ804532.1.1389","HQ132732.1.1413","DQ394926.1.1474","KC120672.1.1497","CU921253.1.1307","HQ673248.1.1512","EU935267.1.1542","DQ395970.1.1393","EU776973.1.1391","FJ457238.1.1498","GU363000.1.1406","DQ644007.1.1450","JX426883.1.951","FJ529709.1.1485","JN391894.1.1484","JN831371.1.1261","DQ796457.1.1387","AF390085.1.1439","AM403218.1.1342","AY902211.1.1468","JF344264.1.1506","JN506969.1.1354","DQ334639.1.1296","FJ205193.1.1497","JF784423.1.1467","JX223267.1.1305","HM798920.1.1453","JX224189.1.1225","FJ545494.1.1545","FR670374.1.1586","JN516034.1.1369","DQ337108.1.916","DQ109909.1.1352","DQ836763.1.1383","AF041468.40711.42197","CU925954.1.1385","JX040327.1.1483","JQ925121.1.1519","JX984070.1.1230","FR685258.1.1486","EU775002.1.1308","GQ417262.1.1454","EU801070.1.1442","HQ153963.1.1436","HQ224981.1.1501","CU922234.2.1287","JN530596.1.1423","JF237471.1.1354","CU915193.2.1359","EF522129.1.1527","HM439402.1.1318","EU133781.1.1258","GU108554.1.1400","DQ903996.1.1373","EU132056.1.1309","FN436153.1.1447","EF471637.1.1502","JX406221.1.1461","EU773033.1.1392","FJ712401.1.1414","GQ389076.1.1479","HQ673403.1.1483","DQ112291.1.1339","JX225280.1.1436","HM241034.1.1326","CU919426.2.1367","EU491839.1.1445","JN886903.1.1487","EU132026.1.1366","HM341197.1.1353","DQ015844.1.1494","HM445411.1.1359","JQ678434.1.1542","FJ825891.1.1477","EU132017.1.1300","EF019027.1.1242","FJ973595.1.1393","JQ465904.1.1391","DQ793813.1.1282","JN615753.1.1386","JQ825082.1.1501","GQ346971.1.1361","JF747662.1.1519","FJ432405.1.1226","FJ152913.1.1510","GQ048895.1.1282","HQ673852.1.1461","JX001148.1.1425","JN018914.1.1343","FJ628299.1.1483","GU118250.1.1455","AM086142.1.1416","AM997670.1.1478","DQ312243.1.1296","AB636991.1.1481","JN547444.1.1442","JN811702.1.1315","EU925834.1.1522","JF228084.1.1345","DQ376919.1.1335","HQ673237.1.1510","JX879053.1.1463","HM186408.1.1307","HQ326998.1.1431","EF574663.1.1445","AGTN01582465.203.1476","JQ074015.1.1288","AB288916.1.1360","JQ580101.1.1479","JN496039.1.1368","JQ428009.1.1490","JX983917.1.1231","JX222273.1.1330","JN535012.1.1329","JQ428707.1.1442","DQ899889.1.1307","EU133338.1.1250","GU061254.1.1459","GQ263707.1.1427","JQ032458.1.1206","JQ612360.1.1515","EU375199.1.1201","EU008564.1.1421","FJ748779.1.1500","DQ846830.1.1264","HM238147.1.1408","AY676890.1.1416","EU680468.1.1479","JN638997.1.1372","EF584060.1.1453","EU774070.1.1371","GQ379601.1.1243","HQ121225.1.1506","JQ989852.1.1466","JX945327.1.1452","AB183568.1.1257","GU234844.1.1355","D12664.1.1256","AY922007.1.1336","JN038018.1.1052","JF238718.1.1356","GU451382.1.1229","JX575992.1.1282","JF809705.1.1358","EU580507.1.1454","JX047096.1.1524","GQ135562.1.1390","JN625635.1.1426","EF573375.1.1449","EU394559.1.1450","JX222814.1.1445","JN615862.1.1361","HQ671828.1.1447","FR823374.1.1521","GU566699.1.1309","HQ449706.1.1408","FR853419.1.1451","FJ745254.1.1321","HQ674088.1.1501","EU802831.1.1482","KC294094.1.1446","JN013945.1.1450","EF092222.1.1365","GQ182698.1.1410","JX223451.1.1427","FJ152833.1.1508","JX222026.1.1343","HM596371.1.1376","GU145453.1.1434","GQ441216.1.1446","EU010156.1.1488","JF145730.1.1376","EU132250.1.1357","JX679640.1.1481","JN881570.1.1353","EF644810.1.1281","HM187555.1.1332","JN626748.1.1304","JQ895017.1.1362","EU776944.1.1345","JN505485.1.1444","AY592164.1.1255","HQ241811.1.1424","FJ497530.1.1498","HQ397389.1.1503","JF189339.1.1360","HM185936.1.1403","JN607043.1.1377","HM817497.1.1355","U20774.1.1422","JQ450291.1.1417"
"TARA_109_SRF",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,31,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,6,0,0,0,81,256,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,275,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45,0,0,0,2,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARA_149_MES",0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,33,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,21,17,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,357,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,19,9,0,0,0,0,0,0,0,0,28,0,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,171,0,0,0,0,0,8,0,0,0,0,0,0,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,73,42,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,73,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARA_110_MES",0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,9,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,1,160,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,90,22,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,20,1,0,0,0,1,0,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,4,1,0,0,6,0,0,0,0,1,0,0,0,0,1,0,20,0,1,0,0,0,0,61,0,0,0,0,19,0,0,0,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,2,0,0,0,0,0,34,76,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARA_102_MES",0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,15,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,25,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,3,0,0,0,0,3,0,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARA_142_SRF",0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,144,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,75,116,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,41,0,2,0,0,0,0,3,0,0,0,1,0,4,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,4,0,0,0,0,0,16,62,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARA_109_DCM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61,0,0,0,0,0,0,0,65,171,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,1,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,2,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARA_036_SRF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38,188,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARA_122_DCM",0,2,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,168,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,108,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,35,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,122,0,0,0,0,2,0,0,0,37,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,3,0,0,0,0,0,28,16,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"TARA_064_SRF",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,124,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,208,349,0,1,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,148,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,937,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,162,0,0,0,3,0,0,0,0,0,23,205,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TARA_085_MES",0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,5,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,3,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,1,2,5,0,0,0,0,0,0,78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,14,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,228,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
