"","Domain","Phylum","Class","Order","Family","Genus"
"EU638706.1.1353","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"JN537192.1.1500","Bacteria","Proteobacteria","Deltaproteobacteria","Sh765B-TzT-29","",""
"CAFJ01000195.23.1515","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"AJ567555.1.1514","Bacteria","Gemmatimonadetes","Gemmatimonadetes","PAUC43f marine benthic group","",""
"JQ452773.1.1411","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"EF516422.1.1450","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"AJ630299.1.1352","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azospira"
"CU923190.1.1303","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","uncultured"
"AY664168.1.1226","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
"JN039300.55496.57028","Bacteria","Cyanobacteria","Chloroplast","","",""
"AM935163.1.1350","Bacteria","Chlorobi","Chlorobia","Chlorobiales","OPB56",""
"FJ484793.1.1352","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfarculales","Desulfarculaceae","uncultured"
"KC169771.1.1506","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Hahellaceae","Endozoicomonas"
"EU134748.1.1313","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","uncultured"
"JX568335.1.1221","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium"
"GU370118.1.1504","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodovulum"
"KC189687.1.1492","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Cryomorphaceae","Fluviicola"
"EF687221.1.1356","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","GR-WP33-58",""
"EU803003.1.1436","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","",""
"EU652528.1.1505","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","uncultured"
"GQ388869.1.1448","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"JX222882.1.1500","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"EU800380.1.1501","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"HQ672217.1.1433","Bacteria","Cyanobacteria","Chloroplast","","",""
"HM128213.1.1390","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseovarius"
"HM438272.1.1490","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia"
"EU370951.1.1423","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","480-2",""
"GQ347042.1.1381","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SUP05 cluster",""
"EU463399.1.1397","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","uncultured"
"JQ278864.1.1255","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"EU778909.1.1356","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Incertae Sedis"
"JN438064.1.1328","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured"
"FN553956.1.1518","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","uncultured"
"HM320530.1.1356","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Bogoriellaceae","Georgenia"
"HQ153982.1.1372","Bacteria","Proteobacteria","Alphaproteobacteria","OCS116 clade","",""
"AY517633.1.1496","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Marinobacter"
"EF509540.1.1463","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"JN492868.1.1408","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thiohalocapsa"
"AY533663.1.1476","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Algoriphagus"
